Time,Pos_mocap_X,Pos_mocap_Y,Pos_mocap_Z
7.2,0.221934197721414,-0.226212916190294,0.234483129839963
7.205,0.221647378221525,-0.226485890580573,0.234898914726577
7.21,0.221414573150189,-0.226692255433207,0.235199055620736
7.215,0.221199434986728,-0.226938696536765,0.235397524528964
7.22,0.220967764565855,-0.227242978203194,0.235514520307096
7.225,0.220765071597644,-0.227493745558905,0.235560720720843
7.23,0.220619920878303,-0.227668517234174,0.235530587103401
7.235,0.220515337211728,-0.227808814742219,0.235458900175382
7.24,0.220456807115286,-0.227861857642119,0.235388501937936
7.245,0.22043109531916,-0.22803323520994,0.235251424169576
7.25,0.22046518222117,-0.228215864603036,0.235169782121227
7.255,0.220547845218175,-0.228271236504114,0.235028869593242
7.26,0.220657219191253,-0.228308345860636,0.234883355021916
7.265,0.220781701393197,-0.228339602909068,0.234758651520999
7.27,0.220969198099357,-0.22835464759731,0.23461091155509
7.275,0.221327109782,-0.228244905783736,0.234419090205258
7.28,0.221626657572029,-0.228138280492683,0.234299242967601
7.285,0.221910832447157,-0.228144190951196,0.234178662576376
7.29,0.22221475787104,-0.22812395184778,0.234048508829795
7.295,0.222571423353916,-0.228078593615063,0.233956018029544
7.3,0.222780395475242,-0.228125883581571,0.233875353847271
7.305,0.222991021602708,-0.228170632001264,0.233796395557546
7.31,0.223253299328351,-0.228136012544588,0.233770709183956
7.315,0.224074616608796,-0.228170312263348,0.233680346444801
7.32,0.224898387089576,-0.228250226183853,0.233656963639503
7.325,0.225409827483882,-0.228224052559906,0.233641294012846
7.33,0.225891156359052,-0.228275602568608,0.23360113378004
7.335,0.226182774143428,-0.228226520757609,0.233629161289797
7.34,0.22713139366577,-0.228476149888209,0.233642518977433
7.345,0.227722018302068,-0.228533032165851,0.233681317577612
7.35,0.228373634515511,-0.228643505485502,0.233756783628578
7.355,0.229018790761161,-0.228702579856654,0.233773133107412
7.36,0.229793768085706,-0.228678762203519,0.233831480568595
7.365,0.23051215605622,-0.228722510023606,0.233864584045968
7.37,0.231227421950397,-0.22879969984389,0.233875664398898
7.375,0.232014024685088,-0.228959741170185,0.233861000881066
7.38,0.232815303025196,-0.229128101312162,0.233864173881046
7.385,0.233575496460436,-0.229162694611849,0.233922885348046
7.39,0.234420187136105,-0.229203668285977,0.233931993612254
7.395,0.235578864943095,-0.229128799543635,0.233875542453967
7.4,0.236519426380515,-0.229173993498738,0.233821068087671
7.405,0.237566300524558,-0.229205885703758,0.233712330124829
7.41,0.238647222290302,-0.229357655290883,0.233501677021886
7.415,0.239756220287409,-0.22950608070624,0.233369317608581
7.42,0.240975267250939,-0.229423375224624,0.233224598647107
7.425,0.242195291026451,-0.229345201118215,0.233081992209873
7.43,0.243388480185938,-0.22938790857477,0.23296643547966
7.435,0.244661649434323,-0.229383770120192,0.232844824305959
7.44,0.245970389644717,-0.229368004366587,0.23275133975241
7.445,0.247280097534351,-0.229247642909389,0.232697655175472
7.45,0.248527235693615,-0.229219596870177,0.232743496660715
7.455,0.249753362484406,-0.229111485521692,0.232867473646292
7.46,0.251010378713796,-0.228952651795898,0.233146866290616
7.465,0.252093762574417,-0.228801696138774,0.233403919935801
7.47,0.253263632483417,-0.228625172546675,0.233673457133022
7.475,0.25458794955342,-0.228387559373095,0.234063413433574
7.48,0.255847698952441,-0.228133707377584,0.23452437251411
7.485,0.257063402623339,-0.227933554977051,0.234950001953376
7.49,0.258258237808248,-0.227841057372268,0.235415213329814
7.495,0.25923017181063,-0.227800659345392,0.235741629386966
7.5,0.260412201894814,-0.227587724014153,0.236122042829867
7.505,0.261636272178155,-0.22726542030068,0.236500919350079
7.51,0.262801795399935,-0.226922943808072,0.236751091345416
7.515,0.263779075980007,-0.226651906169288,0.23683845306661
7.52,0.264518769293229,-0.226488900261797,0.236854439429103
7.525,0.266160407957509,-0.225853465830059,0.236722656941937
7.53,0.267204941991041,-0.225624821906397,0.236529611389431
7.535,0.268186675564771,-0.225368809343119,0.236277977850796
7.54,0.269061711814184,-0.224925343291036,0.236088016434299
7.545,0.269919223409091,-0.224504880095319,0.235811252615574
7.55,0.270606934795788,-0.224357312048935,0.235555998146256
7.555,0.271558496859281,-0.223979823489186,0.235220870231537
7.56,0.272455690678482,-0.223603199502216,0.234866551787697
7.565,0.273255322223824,-0.223219772632856,0.234604783419708
7.57,0.274077209165585,-0.222862610688611,0.234313250650317
7.575,0.274883771393003,-0.222559120003293,0.23398192258577
7.58,0.275650944788651,-0.222221754439939,0.233681614985757
7.585,0.276438280705327,-0.221818248741209,0.233435982497073
7.59,0.277223762761641,-0.221496008708311,0.233213821072898
7.595,0.277842368958782,-0.221123967861836,0.233079412718945
7.6,0.278663399408995,-0.220764783333639,0.232891826585182
7.605,0.279385567322195,-0.220378927246717,0.232702228455333
7.61,0.28003757997687,-0.219878237662266,0.232615097752593
7.615,0.280665748911122,-0.219340295232069,0.232560198001331
7.62,0.281288713646264,-0.21871570061955,0.232514344655679
7.625,0.281868901818292,-0.218092755634386,0.232486076907588
7.63,0.282451454676523,-0.217529733025858,0.232419598096618
7.635,0.283098302577087,-0.217003241739943,0.232290520118679
7.64,0.283741798723095,-0.216549194585759,0.23222444639184
7.645,0.284376477030658,-0.216149364206388,0.232112492922559
7.65,0.284954464656839,-0.215590914190107,0.232031544127378
7.655,0.285524932278414,-0.215005636225822,0.231965721577373
7.66,0.286095794538911,-0.2143648959826,0.231904253794787
7.665,0.28659783811111,-0.213846069136357,0.23181190452434
7.67,0.287152099254184,-0.213312843922793,0.231698407169355
7.675,0.287815466823074,-0.212716508091822,0.231557010278992
7.68,0.288335184935181,-0.212233727360101,0.231413520750379
7.685,0.288754063527925,-0.211787127705633,0.231267455099366
7.69,0.289456956723112,-0.21088922144061,0.231096650957987
7.695,0.289668491609715,-0.210694068695536,0.231033775291858
7.7,0.289880026496318,-0.210498915950462,0.230970899625728
7.705,0.290604347209846,-0.209522428517096,0.230732625793798
7.71,0.290830889273386,-0.209210496369889,0.230690542285741
7.715,0.291057431336925,-0.208898564222681,0.230648458777683
7.72,0.292596933623781,-0.207039431017113,0.230077911802115
7.725,0.293040244621318,-0.206414775060301,0.229942384099705
7.73,0.293831588548927,-0.20563521313548,0.229644375842734
7.735,0.294339342672532,-0.204795447975778,0.229542154546435
7.74,0.294904244098319,-0.204055402698038,0.229401504858122
7.745,0.295534155654309,-0.203514349993438,0.229279070771487
7.75,0.296028502439817,-0.202990963429107,0.229319845096815
7.755,0.296416811201722,-0.202531736500439,0.22950668628213
7.76,0.296861914631003,-0.20206746510666,0.229832954959526
7.765,0.297262125389395,-0.201618871287269,0.230353597608971
7.77,0.297637755409133,-0.201150821293306,0.230913930814478
7.775,0.298016995327901,-0.200750243910628,0.231540119066373
7.78,0.298324936864184,-0.200328742107147,0.232265270704801
