Time,orient_mocap_X,orient_mocap_Y,orient_mocap_Z
40.55,0.0375144471446106,0.0803921106092976,3.41518709321582
40.555,0.0366749961541347,0.0795174966556149,3.41471830330686
40.56,0.0359805543269791,0.0790414000185293,3.41384911007142
40.565,0.0360534176920021,0.078511452970017,3.41297595853219
40.57,0.0362567060171159,0.0779206228216958,3.41179224674162
40.575,0.0359489028699269,0.0774938295095284,3.41050241907786
40.58,0.0363053758750467,0.0772901642942336,3.40888934908666
40.585,0.036673784755696,0.0769520372805795,3.40716012983861
40.59,0.0363409279851521,0.0763975638656898,3.40528601716572
40.595,0.0360578958280836,0.0766450591249228,3.40324117895645
40.6,0.0356653680411268,0.0769770837847792,3.40114836809775
40.605,0.0359012949495276,0.0775073807045939,3.39898579774253
40.61,0.037482697659678,0.0777156028871256,3.39672027572528
40.615,0.0376645395714671,0.0773892558581893,3.39409939419228
40.62,0.0369272536820988,0.0769741456429205,3.39136731942566
40.625,0.0368508523435802,0.077004143032548,3.38854966209611
40.63,0.0368207776872739,0.077627698284056,3.38561758901666
40.635,0.0361847994525351,0.0780226252006956,3.38262977699269
40.64,0.0349937564543207,0.0785018970711816,3.37934039395705
40.645,0.0329640054865101,0.0790837316302476,3.37605317630768
40.65,0.0319357364229588,0.0796783555064928,3.37292600384927
40.655,0.0297196689539174,0.0804633274316837,3.37000912470932
40.66,0.0282854737044882,0.0815524765625878,3.36694438811286
40.665,0.0273063364732239,0.0823609975991977,3.36425686616227
40.67,0.0262381399455485,0.0829251558184303,3.36183934552106
40.675,0.0251699111789069,0.083489372475281,3.35953162157353
40.68,0.0239050933908299,0.0845695820605057,3.35609183366878
40.685,0.0234250383154469,0.0846522156812756,3.35252283960516
40.69,0.0229449129230447,0.0847344333320142,3.34905567482458
40.695,0.0224647171456541,0.0848162350045669,3.34543747305562
40.7,0.0160124547544935,0.0879189921403826,3.34150813427101
40.705,0.0127628458568279,0.0889772484696438,3.33732726459201
40.71,0.0114734287249477,0.0897593199663558,3.33306478571105
40.715,0.0103653759363857,0.0901932382310023,3.32831387041054
40.72,0.009175720799134,0.0904667742348935,3.32335331826996
40.725,0.00786696019360507,0.0909044041710451,3.31818322580275
40.73,0.004679268661316,0.092410586336734,3.31423136436045
40.735,0.00245184127187795,0.0938255105297117,3.31032993905545
40.74,-9.3973967943892e-05,0.094562781695833,3.30661819355535
40.745,-0.00207780154691678,0.0956181524066386,3.30319387795707
40.75,7.3036936086848e-05,0.0961510896264144,3.29975784061756
40.755,0.00214246223842278,0.0965454469918275,3.29617098317197
40.76,0.0023715757552965,0.0969850527767681,3.29289853099131
40.765,0.00285137235691062,0.0976098735324105,3.2900301787107
40.77,0.00442555175629983,0.100575630614751,3.28738877266083
40.775,0.009517966053758,0.103718251785959,3.284904812098
40.78,0.0117256850870225,0.10635153760512,3.28266576745267
40.785,0.010707006358457,0.110541092145469,3.28068116490172
40.79,0.0107504292502252,0.112531396350791,3.27878906781922
40.795,0.0118753531856462,0.114854802063262,3.2768434762924
40.8,0.0140960400663047,0.116442679704128,3.27509300804234
40.805,0.0139454911605173,0.118046783779529,3.27366565795443
40.81,0.0144065933786888,0.11910479890684,3.27232550727311
40.815,0.0149625197470191,0.119686663874153,3.2709792713193
40.82,0.0148897743381003,0.11957342907633,3.26971895518327
40.825,0.014964397379431,0.118973221034343,3.26835386356587
40.83,0.0157155311110859,0.118578201589299,3.26685071446595
40.835,0.0162109412244366,0.118082647995452,3.26531339427101
40.84,0.0145876317698015,0.116993928569739,3.26378735689319
40.845,0.0167603704321123,0.116546619679963,3.26234476124113
40.85,0.0172716490685126,0.11588183175427,3.26092972986015
40.855,0.0181563245655955,0.114970211768457,3.25944791161964
40.86,0.0180826877571531,0.113630863277341,3.25805588072533
40.865,0.0167831497142536,0.112580112129612,3.25657794640336
40.87,0.0154589029989919,0.111746743148184,3.25482353818786
40.875,0.014708868371913,0.110820357598741,3.25309632682335
40.88,0.0130910188640499,0.110010597317723,3.25136797528256
40.885,0.00963204324130335,0.107861425598909,3.24960832773115
40.89,0.00937229201669633,0.107427283239709,3.24811740526945
40.895,0.00802073770680084,0.106829654587579,3.24677344846221
40.9,0.00559389636138222,0.105878533921841,3.24541002559581
40.905,0.00326675953922666,0.104905801540374,3.24407691995717
40.91,0.00196245271786692,0.104077963034579,3.24276735155075
40.915,0.00111067180621361,0.103547517189727,3.24176040518928
40.92,0.0013442626939471,0.103248115022498,3.24094370543755
40.925,0.00206776103076975,0.1029446297633,3.24050534119249
40.93,0.00133275702031101,0.10256859197011,3.23999714141335
40.935,-0.000384286467526714,0.101891487529519,3.23965555394558
40.94,-0.00201913858917288,0.101063317939931,3.23929407793162
40.945,-0.00169683540620871,0.100794916843792,3.23918205712678
40.95,-0.000382659862927542,0.100514703168134,3.23946860643447
40.955,0.000938974835321994,0.100095413191422,3.23994440799507
40.96,0.00144509730569217,0.0996317660126206,3.24048257552356
40.965,0.00218462546742447,0.0993443149891819,3.24097684307469
40.97,0.00231734737280749,0.099048942837026,3.24154944380135
40.975,0.00135693899580841,0.0986637712038115,3.24176598281877
40.98,0.00112868970793981,0.0983021685545997,3.2424039996356
40.985,0.000965664948308134,0.0974286623403991,3.24319593289777
40.99,0.00127220661816745,0.0971645629324462,3.243966978837
40.995,0.00316221290338441,0.0968920732693016,3.24444102841945
41,0.00322024631545061,0.096322046151581,3.2446991261689
41.005,0.00270185731901548,0.095600134449643,3.24510537769457
41.01,0.00225882542073561,0.0949646651415896,3.24572803755419
41.015,0.00205496093175318,0.0943002663974912,3.24639602940664
41.02,0.0010595001408295,0.0937188580342313,3.24703216637316
41.025,-0.000407719360295398,0.0932417080069669,3.24766565769006
41.03,-0.000819921968051896,0.0927276056040788,3.24818420415169
41.035,-0.00152578994924017,0.0925946953829434,3.24878424632855
41.04,-0.00503675495890986,0.091929750757504,3.24948846937764
41.045,-0.00551578537661453,0.0913518500144216,3.25038113616688
41.05,-0.00631215676034375,0.0908564882114011,3.25129967586329
41.055,-0.00877027540221288,0.0896339462606562,3.25192460581107
41.06,-0.0116285902695833,0.087349610028026,3.25225940667195
41.065,-0.0130571643910013,0.0856683979170565,3.25252790294679
41.07,-0.0119378535769032,0.085129931466775,3.25279436005149
41.075,-0.00951222777200088,0.0851053657095508,3.25323232021729
41.08,-0.00841995024754313,0.0851824336131954,3.25444839156078
41.085,-0.00732769952578598,0.0852599439479664,3.25547658544198
41.09,-0.00623547416903139,0.0853378967231185,3.25663240373289
41.095,-0.00514327273929857,0.0854162919479725,3.25794681614222
41.1,0.0164968026372188,0.0931593473440833,3.25928823229669
41.105,0.0216784466657612,0.0942972287725742,3.26078860152141
41.11,0.0282072961282242,0.0952707404515722,3.26235988365254
41.115,0.033420750644583,0.0954682104013862,3.26399602066622
41.12,0.0349386848675235,0.0951172455506973,3.2657754061029
41.125,0.0349321274720177,0.094232251830223,3.26766592471647
41.13,0.0363479589391437,0.0932244638779963,3.26899366401305
