Time,FL0_ang,FL1_ang,FL2_ang,FR0_ang,FR1_ang,FR2_ang,RL0_ang,RL1_ang,RL2_ang,RR0_ang,RR1_ang,RR2_ang
22.425,-0.0453271271932212,0.907950310610728,-1.82963445140427,0.0631343519770724,1.06852496181382,-1.77204852577701,-0.13941545508506,0.89894516019788,-1.66486040565278,0.236321747797291,0.837906441366215,-1.73430964573252
22.43,-0.0478650225346041,0.907396588021223,-1.82880009226421,0.0618548011188207,1.06742315728557,-1.77127319419869,-0.140930901104173,0.899211000358778,-1.66469371329436,0.230665351244316,0.831552207462793,-1.72617314827774
22.435,-0.0511765305405655,0.906200357421658,-1.8285188012379,0.0604215970753079,1.06536774973628,-1.76908302936508,-0.142631869292568,0.899979041611484,-1.6644157898549,0.225872378935762,0.82599287768318,-1.72062589007816
22.44,-0.0540811761680288,0.904043780977272,-1.82832191647035,0.0586966824530716,1.06247702264103,-1.76631095221954,-0.146119682378046,0.897402853062181,-1.66221928111105,0.221638523729891,0.819103014899879,-1.71540723682889
22.445,-0.054573640760762,0.904243019933208,-1.82518193904904,0.0543277951391883,1.05957591094834,-1.76397603455758,-0.151315884291453,0.891691461003238,-1.65621288429316,0.221926818533504,0.814196024580684,-1.70603867119663
22.45,-0.053295317771678,0.90657496719923,-1.81628079790824,0.049053532760437,1.05678906375164,-1.76509699843256,-0.153495507797892,0.887686119036898,-1.65372069094901,0.228667474454345,0.814993185938444,-1.69102322704864
22.455,-0.0520814813514306,0.907299056280163,-1.80778220389214,0.0459721850986612,1.05353905427098,-1.77070014930084,-0.153348864636504,0.884592721081608,-1.65811111461739,0.235819026357597,0.815793135891458,-1.67899841928355
22.46,-0.0521920605366255,0.905221165721744,-1.80458526882806,0.0461420877975688,1.05262948579505,-1.77889168784344,-0.152471212480591,0.883122873306274,-1.66537348723943,0.238832383226507,0.811330502222461,-1.67381956145444
22.465,-0.0532654387765831,0.902788329471513,-1.80271231036597,0.048324704615891,1.05413108604884,-1.78867828226638,-0.151410006619314,0.884012418257316,-1.67293740853866,0.239566218995912,0.805386499299393,-1.66909918518368
22.47,-0.0541589747032191,0.900904448316047,-1.80022858393692,0.0503787056119696,1.05703832779006,-1.7990672621191,-0.151417271423948,0.886194833561387,-1.6803622492921,0.239703607030536,0.800654406877704,-1.66335519077426
